מספר שורה,קטגוריה,קטגוריה (אנגלית),מזהה שאלה,שאלה בעברית,שאלה באנגלית
328,"מחלות עור","Skin Disorders","13","מהי חשיבות התזונה לבריאות העור?","What is importance of diet for skin health?"
329,"מחלות עור","Skin Disorders","14","כיצד רגשות משפיעים על מצב העור?","How do emotions affect skin condition?"
330,"מחלות עור","Skin Disorders","15","מהם הצמחים המטפלים בבעיות עור?","What herbs treat skin problems?"
331,"מערכת הלב וכלי הדם","Cardiovascular System","1","מהם תפקידי הלב ב-TCM מעבר לשאיבת דם?","What are Heart functions in TCM beyond pumping blood?"
332,"מערכת הלב וכלי הדם","Cardiovascular System","2","כיצד מטפלים ביתר לחץ דם?","How to treat hypertension?"
333,"מערכת הלב וכלי הדם","Cardiovascular System","3","מהו הטיפול בהפרעות קצב לב?","What is treatment for heart arrhythmias?"
334,"מערכת הלב וכלי הדם","Cardiovascular System","4","כיצד סטגנציה של דם משפיעה על הלב?","How does Blood stasis affect the Heart?"
335,"מערכת הלב וכלי הדם","Cardiovascular System","5","מהם הסימנים של חוסר דם בלב?","What are signs of Heart Blood deficiency?"
336,"מערכת הלב וכלי הדם","Cardiovascular System","6","כיצד מטפלים בחרדה עם דפיקות לב?","How to treat anxiety with palpitations?"
337,"מערכת הלב וכלי הדם","Cardiovascular System","7","מהו הקשר בין הלב לכליות (ציר לב-כליות)?","What is Heart-Kidney axis connection?"
338,"מערכת הלב וכלי הדם","Cardiovascular System","8","כיצד ליחה חוסמת את פתחי הלב?","How does Phlegm block Heart orifices?"
339,"מערכת הלב וכלי הדם","Cardiovascular System","9","מהם הנקודות החשובות לבריאות הלב?","What are important points for heart health?"
340,"מערכת הלב וכלי הדם","Cardiovascular System","10","כיצד מטפלים בכאבים בחזה?","How to treat chest pain?"
341,"מערכת הלב וכלי הדם","Cardiovascular System","11","מהו הטיפול בדליות ובעיות ורידים?","What is treatment for varicose veins?"
342,"מערכת הלב וכלי הדם","Cardiovascular System","12","כיצד משפרים את זרימת הדם?","How to improve blood circulation?"
343,"מערכת הלב וכלי הדם","Cardiovascular System","13","מהי חשיבות השן (Shen) לבריאות הלב?","What is importance of Shen for heart health?"
344,"מערכת הלב וכלי הדם","Cardiovascular System","14","כיצד מונעים מחלות לב לפי TCM?","How to prevent heart disease according to TCM?"
345,"מערכת הלב וכלי הדם","Cardiovascular System","15","מהם הצמחים התומכים בבריאות הלב?","What herbs support heart health?"
346,"נוסחאות צמחים","Herbal Formulas","1","מהם העקרונות לבניית נוסחת צמחים?","What are principles for building an herbal formula?"
347,"נוסחאות צמחים","Herbal Formulas","2","מה תפקיד ה""מלך"" (Jun) בנוסחה?","What is the role of the Emperor (Jun) in a formula?"
348,"נוסחאות צמחים","Herbal Formulas","3","כיצד בוחרים צמחי ""שר"" (Chen)?","How to choose Minister (Chen) herbs?"
349,"נוסחאות צמחים","Herbal Formulas","4","מהו תפקיד צמחי ה""שליח"" (Shi)?","What is the function of Envoy (Shi) herbs?"
350,"נוסחאות צמחים","Herbal Formulas","5","כיצד משנים נוסחה קלאסית למטופל ספציפי?","How to modify a classic formula for a specific patient?"
351,"נוסחאות צמחים","Herbal Formulas","6","מהי נוסחת Si Jun Zi Tang ולמה היא משמשת?","What is Si Jun Zi Tang and what is it used for?"
352,"נוסחאות צמחים","Herbal Formulas","7","כיצד משתמשים ב-Xiao Yao San?","How is Xiao Yao San used?"
353,"נוסחאות צמחים","Herbal Formulas","8","מהי נוסחת Liu Wei Di Huang Wan?","What is Liu Wei Di Huang Wan?"
354,"נוסחאות צמחים","Herbal Formulas","9","כיצד מטפלים בצינון עם Ma Huang Tang?","How to treat cold with Ma Huang Tang?"
355,"נוסחאות צמחים","Herbal Formulas","10","מהי נוסחת Gui Pi Tang ומתי משתמשים בה?","What is Gui Pi Tang and when to use it?"
356,"נוסחאות צמחים","Herbal Formulas","11","כיצד מחליטים על מינון ותדירות נטילה?","How to decide dosage and frequency?"
357,"נוסחאות צמחים","Herbal Formulas","12","מהם הצמחים האסורים בהריון?","Which herbs are forbidden in pregnancy?"
358,"נוסחאות צמחים","Herbal Formulas","13","כיצד מתאימים נוסחאות לגילאים שונים?","How to adjust formulas for different ages?"
359,"נוסחאות צמחים","Herbal Formulas","14","מהן האינטראקציות החשובות בין צמחים לתרופות?","What are important herb-drug interactions?"
360,"נוסחאות צמחים","Herbal Formulas","15","כיצד מעריכים את איכות הצמחים?","How to evaluate herb quality?"
361,"מוקסה וכוסות רוח","Moxibustion & Cupping","1","מהם סוגי המוקסה השונים וכיצד בוחרים ביניהם?","What are different moxa types and how to choose?"
362,"מוקסה וכוסות רוח","Moxibustion & Cupping","2","מתי מועדפת מוקסה על דיקור?","When is moxa preferred over needling?"
363,"מוקסה וכוסות רוח","Moxibustion & Cupping","3","מהם הנקודות החשובות לטיפול במוקסה?","What are important points for moxa treatment?"
364,"מוקסה וכוסות רוח","Moxibustion & Cupping","4","כיצד מוקסה מחממת את הגוף ומגרשת קור?","How does moxa warm body and expel cold?"
365,"מוקסה וכוסות רוח","Moxibustion & Cupping","5","מהם ההתוויות הנגד למוקסה?","What are contraindications for moxa?"
366,"מוקסה וכוסות רוח","Moxibustion & Cupping","6","כיצד מבצעים טכניקת מוקסה ישירה?","How to perform direct moxa technique?"
367,"מוקסה וכוסות רוח","Moxibustion & Cupping","7","מהם סוגי כוסות הרוח השונים?","What are different cupping types?"
368,"מוקסה וכוסות רוח","Moxibustion & Cupping","8","כיצד מפרשים סימני כוסות רוח?","How to interpret cupping marks?"
369,"מוקסה וכוסות רוח","Moxibustion & Cupping","9","מתי משתמשים בכוסות רוח נעות?","When to use moving cupping?"
370,"מוקסה וכוסות רוח","Moxibustion & Cupping","10","מהם היתרונות של כוסות רוח לטיפול בכאב?","What are benefits of cupping for pain?"
371,"מוקסה וכוסות רוח","Moxibustion & Cupping","11","כיצד משלבים כוסות רוח עם דיקור?","How to combine cupping with acupuncture?"
372,"מוקסה וכוסות רוח","Moxibustion & Cupping","12","מהם ההתוויות הנגד לכוסות רוח?","What are contraindications for cupping?"
373,"מוקסה וכוסות רוח","Moxibustion & Cupping","13","כיצד מטפלים בצינון עם מוקסה?","How to treat cold with moxa?"
374,"מוקסה וכוסות רוח","Moxibustion & Cupping","14","מהי טכניקת ה-""סנדוויץ'"" במוקסה?","What is moxa sandwich technique?"
375,"מוקסה וכוסות רוח","Moxibustion & Cupping","15","כיצד מלמדים מטופלים לבצע מוקסה עצמית?","How to teach patients self-moxa?"
376,"כלי הדם המיוחדים","Extraordinary Vessels","1","מהם שמונת כלי הדם המיוחדים (Qi Jing Ba Mai)?","What are the Eight Extraordinary Vessels?"
377,"כלי הדם המיוחדים","Extraordinary Vessels","2","מה תפקיד ה-Du Mai (כלי השליט)?","What is the function of Du Mai (Governing Vessel)?"
378,"כלי הדם המיוחדים","Extraordinary Vessels","3","כיצד ה-Ren Mai (כלי התפיסה) משפיע על הפוריות?","How does Ren Mai affect fertility?"
379,"כלי הדם המיוחדים","Extraordinary Vessels","4","מהו הקשר בין Chong Mai לדם?","What is the connection between Chong Mai and Blood?"
380,"כלי הדם המיוחדים","Extraordinary Vessels","5","כיצד Dai Mai (כלי החגורה) קשור לבעיות במותניים?","How is Dai Mai related to waist problems?"
381,"כלי הדם המיוחדים","Extraordinary Vessels","6","מהם נקודות הפתיחה והסגירה של כל כלי מיוחד?","What are opening and closing points for each vessel?"
382,"כלי הדם המיוחדים","Extraordinary Vessels","7","כיצד משתמשים ב-Yang Wei Mai לבעיות חוץ?","How to use Yang Wei Mai for exterior issues?"
383,"כלי הדם המיוחדים","Extraordinary Vessels","8","מהו תפקיד Yin Wei Mai?","What is the role of Yin Wei Mai?"
384,"כלי הדם המיוחדים","Extraordinary Vessels","9","כיצד Yang Qiao Mai משפיע על השינה?","How does Yang Qiao Mai affect sleep?"
385,"כלי הדם המיוחדים","Extraordinary Vessels","10","מהו הקשר בין Yin Qiao Mai לעיניים?","What is Yin Qiao Mai connection to eyes?"
386,"כלי הדם המיוחדים","Extraordinary Vessels","11","כיצד משלבים כלים מיוחדים בטיפול?","How to integrate extraordinary vessels in treatment?"
387,"כלי הדם המיוחדים","Extraordinary Vessels","12","מהם הסימפטומים של חוסר איזון בכלים המיוחדים?","What are symptoms of extraordinary vessel imbalance?"
388,"כלי הדם המיוחדים","Extraordinary Vessels","13","כיצד מטפלים בבעיות הורמונליות דרך הכלים המיוחדים?","How to treat hormonal issues through extraordinary vessels?"
389,"כלי הדם המיוחדים","Extraordinary Vessels","14","מהי חשיבות הכלים המיוחדים בטיפול בטראומה?","What is importance of extraordinary vessels in trauma treatment?"
390,"כלי הדם המיוחדים","Extraordinary Vessels","15","כיצד הכלים המיוחדים קשורים לצ'אקרות?","How are extraordinary vessels related to chakras?"
391,"דיקור אוזן","Auricular Acupuncture","1","מהי מפת האוזן ואיך היא משקפת את הגוף?","What is the ear map and how does it reflect the body?"
392,"דיקור אוזן","Auricular Acupuncture","2","כיצד מאתרים נקודות רגישות באוזן?","How to locate sensitive points on the ear?"
393,"דיקור אוזן","Auricular Acupuncture","3","מהם הכלים לאבחון באמצעות האוזן?","What are tools for ear diagnosis?"
394,"דיקור אוזן","Auricular Acupuncture","4","כיצד דיקור אוזן מסייע בהפסקת עישון?","How does ear acupuncture help quit smoking?"
395,"דיקור אוזן","Auricular Acupuncture","5","מהי פרוטוקול NADA להתמכרויות?","What is NADA protocol for addictions?"
396,"דיקור אוזן","Auricular Acupuncture","6","כיצד מטפלים בכאב באמצעות דיקור אוזן?","How to treat pain with ear acupuncture?"
397,"דיקור אוזן","Auricular Acupuncture","7","מהם הנקודות החשובות להרגעת חרדה?","What are important points for calming anxiety?"
398,"דיקור אוזן","Auricular Acupuncture","8","כיצד משתמשים בזרעי אוזן (ear seeds)?","How to use ear seeds?"
399,"דיקור אוזן","Auricular Acupuncture","9","מהו הטיפול בנדודי שינה דרך האוזן?","What is ear treatment for insomnia?"
400,"דיקור אוזן","Auricular Acupuncture","10","כיצד מטפלים בבעיות עיכול באמצעות האוזן?","How to treat digestive issues through the ear?"
401,"דיקור אוזן","Auricular Acupuncture","11","מהם הנקודות לאיזון הורמונלי?","What are points for hormonal balance?"
402,"דיקור אוזן","Auricular Acupuncture","12","כיצד דיקור אוזן מסייע בהרזיה?","How does ear acupuncture help weight loss?"
403,"דיקור אוזן","Auricular Acupuncture","13","מהם ההתוויות הנגד לדיקור אוזן?","What are contraindications for ear acupuncture?"
404,"דיקור אוזן","Auricular Acupuncture","14","כיצד משלבים דיקור אוזן עם דיקור גוף?","How to combine ear with body acupuncture?"
405,"דיקור אוזן","Auricular Acupuncture","15","מהי נקודת ה-Shen Men ולמה היא חשובה?","What is Shen Men point and why is it important?"
406,"טיפול לפי עונות","Seasonal Treatment","1","כיצד עונת האביב משפיעה על הכבד?","How does Spring affect the Liver?"
407,"טיפול לפי עונות","Seasonal Treatment","2","מהו הטיפול המומלץ בקיץ לשמירה על הלב?","What is recommended summer treatment for Heart?"
408,"טיפול לפי עונות","Seasonal Treatment","3","כיצד מכינים את הגוף לסתיו?","How to prepare the body for autumn?"
409,"טיפול לפי עונות","Seasonal Treatment","4","מהי חשיבות שמירת האנרגיה בחורף?","What is importance of preserving energy in winter?"
410,"טיפול לפי עונות","Seasonal Treatment","5","כיצד התזונה משתנה לפי העונות?","How does diet change according to seasons?"
411,"טיפול לפי עונות","Seasonal Treatment","6","מהם הנקודות החשובות לכל עונה?","What are important points for each season?"
412,"טיפול לפי עונות","Seasonal Treatment","7","כיצד מטפלים באלרגיות עונתיות?","How to treat seasonal allergies?"
413,"טיפול לפי עונות","Seasonal Treatment","8","מהו הקשר בין ""עונה חמישית"" לטחול?","What is connection between Late Summer and Spleen?"
414,"טיפול לפי עונות","Seasonal Treatment","9","כיצד שעות השינה משתנות לפי העונה?","How do sleep hours change with seasons?"
415,"טיפול לפי עונות","Seasonal Treatment","10","מהם הסימנים של חוסר הסתגלות לעונה?","What are signs of poor seasonal adaptation?"
416,"טיפול לפי עונות","Seasonal Treatment","11","כיצד מונעים הצטננויות בתחילת הסתיו?","How to prevent colds at beginning of autumn?"
417,"טיפול לפי עונות","Seasonal Treatment","12","מהי חשיבות ""פתיחת האביב"" לכבד?","What is importance of Spring opening for Liver?"
418,"טיפול לפי עונות","Seasonal Treatment","13","כיצד מטפלים בדיכאון עונתי (SAD)?","How to treat Seasonal Affective Disorder?"
419,"טיפול לפי עונות","Seasonal Treatment","14","מהם הצמחים המתאימים לכל עונה?","What herbs are suitable for each season?"
420,"טיפול לפי עונות","Seasonal Treatment","15","כיצד פעילות גופנית משתנה לפי העונה?","How does physical activity change with season?"
421,"חמשת היסודות","Five Elements","1","מהם חמשת היסודות (Wu Xing) וכיצד הם קשורים לאיברים?","What are the Five Elements and how are they related to organs?"
422,"חמשת היסודות","Five Elements","2","כיצד מחזור השליטה והחיזוק פועלים?","How do Control and Generation cycles work?"
423,"חמשת היסודות","Five Elements","3","מהו הקשר בין יסוד העץ לכבד ולמרה?","What is the connection between Wood element and Liver/Gallbladder?"
424,"חמשת היסודות","Five Elements","4","כיצד יסוד האש משפיע על הלב והמעי הדק?","How does Fire element affect Heart and Small Intestine?"
425,"חמשת היסודות","Five Elements","5","מהי החשיבות של יסוד האדמה לעיכול?","What is importance of Earth element for digestion?"
426,"חמשת היסודות","Five Elements","6","כיצד יסוד המתכת קשור לריאות?","How is Metal element related to Lungs?"
427,"חמשת היסודות","Five Elements","7","מהו תפקיד יסוד המים לכליות?","What is the role of Water element for Kidneys?"
428,"חמשת היסודות","Five Elements","8","כיצד מאזנים יסוד חלש באמצעות יסוד אחר?","How to balance a weak element using another?"
429,"חמשת היסודות","Five Elements","9","מהם הסימנים של חוסר איזון ביסוד העץ?","What are signs of Wood element imbalance?"
430,"חמשת היסודות","Five Elements","10","כיצד רגשות קשורים לחמשת היסודות?","How are emotions related to Five Elements?"
431,"חמשת היסודות","Five Elements","11","מהו הקשר בין עונות השנה ליסודות?","What is the connection between seasons and elements?"
432,"חמשת היסודות","Five Elements","12","כיצד צבעים משקפים את היסודות?","How do colors reflect the elements?"
433,"חמשת היסודות","Five Elements","13","מהם הטעמים הקשורים לכל יסוד?","What flavors are associated with each element?"
434,"חמשת היסודות","Five Elements","14","כיצד משתמשים בחמשת היסודות בבחירת נקודות?","How to use Five Elements in point selection?"
435,"חמשת היסודות","Five Elements","15","מהי גישת חמשת היסודות לטיפול פסיכו-רגשי?","What is Five Elements approach to psycho-emotional treatment?"
436,"יין ויאנג","Yin & Yang","1","מהם העקרונות הבסיסיים של תורת הין-יאנג?","What are basic principles of Yin-Yang theory?"
437,"יין ויאנג","Yin & Yang","2","כיצד יין ויאנג מתקיימים יחד ובאיזון?","How do Yin and Yang coexist in balance?"
438,"יין ויאנג","Yin & Yang","3","מהם הסימנים של עודף יאנג?","What are signs of Yang excess?"
439,"יין ויאנג","Yin & Yang","4","כיצד מזהים חוסר יין?","How to identify Yin deficiency?"
440,"יין ויאנג","Yin & Yang","5","מהו הקשר בין יין-יאנג לזמנים ביום?","What is the relationship between Yin-Yang and times of day?"
441,"יין ויאנג","Yin & Yang","6","כיצד יין ויאנג מתבטאים בגוף?","How do Yin and Yang manifest in the body?"
442,"יין ויאנג","Yin & Yang","7","מהי חשיבות האיזון בין יין ליאנג?","What is importance of balance between Yin and Yang?"
443,"יין ויאנג","Yin & Yang","8","כיצד מטפלים בחוסר יאנג?","How to treat Yang deficiency?"
444,"יין ויאנג","Yin & Yang","9","מהם המזונות שמזינים יין או יאנג?","What foods nourish Yin or Yang?"
445,"יין ויאנג","Yin & Yang","10","כיצד יין-יאנג משפיעים על הרגשות?","How do Yin-Yang affect emotions?"
446,"יין ויאנג","Yin & Yang","11","מהו הקשר בין יין-יאנג למחלות כרוניות?","What is connection between Yin-Yang and chronic diseases?"
447,"יין ויאנג","Yin & Yang","12","כיצד מאבחנים דפוסי יין-יאנג?","How to diagnose Yin-Yang patterns?"
448,"יין ויאנג","Yin & Yang","13","מהם הנקודות לחיזוק יין?","What are points for strengthening Yin?"
449,"יין ויאנג","Yin & Yang","14","כיצד מגרשים קור (יין עודף)?","How to expel cold (excess Yin)?"
450,"יין ויאנג","Yin & Yang","15","מהי הגישה להחלפת יין ויאנג במחלות חמורות?","What is approach to Yin-Yang collapse in severe diseases?"
