id,point_code,chinese_pinyin,english_name,chinese_characters,etymology,description,location,needling,functions,secondary_functions,cautions,notes,chinese_pinyin_hebrew,english_name_hebrew,etymology_hebrew,description_hebrew,location_hebrew,needling_hebrew,functions_hebrew,secondary_functions_hebrew,cautions_hebrew,notes_hebrew,search_keywords_hebrew,created_at
171,Bl67,ZHI YIN,Arrival of Yin,至陰,,"Zhi – to arrive Yin – yin BL67 is the final point on the BL meridian (a yang meridian). From here the CHI flows to the KID meridian ","At the lateral aspect of the 5th toe 1 fen proximal and lateral to the corner of the fingernail In the depression formed at the sole of the foot when it is in plantar flexion, 1/3rd of the way from the base of the 2nd toe to the tip of the heel, between the 2nd and 3rd metatarsal bones, proximal to the metatarsal phalanx bones. At the medial aspect of the foot, in the notch anterior and inferior to the bulging of the navicular bone, where the skin changes from red to white In the depression halfway between the tip of the medial malleolus and the posterior border of the achilles tendon 0.5 cun posterior and inferior to KID3 between the tip of the Achilles tendon and the heel bone 1 cun inferior to KID3 in the slight depression anterior and superior to the medial aspect of the bump of the achilles In the notch inferior to the medial malleolus, between the 2 tendons, exactly 1 cun under the tip of the malleolus 1. Master of the Yin Qiao Mai 2. Couple of the CV 3. Disperses yin throughout the body 4. Tonifies Heart yin and calm the SHEN. 5. Raises yin to the throat and eyes 6. Disperses fluids throughout the body 7. Used with KID27 to calm the Heart from stress, chronic stress 2 cun directly above KID3 on the anterior border of the tendo achilles tendon 2 cun above KID3, 0.5 cun anterior to KID7, posterior to the medial border of the tibia 5 cun above KID3, 1 cun posterior to the medial border of the tibia With the knee bent, the point is located at the tip of the popliteal crease between the semi - tendinosus and semi- membranosus tendons 0.5 cun lateral to CV2 at the superior borders of the Symphisus Pubis bone 0.5 cun lateral to CV3 0..5 cun from CV4 cun lateral to CV5 0..5 cun lateral to CV7 cun lateral to CV8 0.5 cun lateral to CV10 0.5 cun lateral to CV11 0.5 cun lateral to CV12 0.5 cun lateral to CV13 0.5 cun lateral to CV14 2 cun lateral to CV16 in the 5th intercostal space 2 cun lateral to CV17 in the 4th intercostal space 2 cun lateral to CV18 in the 3td intercostal space 2 cun lateral to CV19 in the 2nd intercostal space 2 cun lateral to CV20 in the 1st intercostal space 2 cun lateral to CV21 in the notch inferior to the clavicle ","Perpendicular and upwards 0.1-0.2 cun needling causes local pain drain a few drops of water Perpendicular 0.5-1 cun Perpendicular, 0.5-1cun, for acute back pain bleed 2 drops Perpendicular 0.5 cun Perpendicular 0.3-0.5 cun Perpendicular 0.3-0.5 cun Perpendicular 0.5-1 cun Perpendicular 0.5-1cun Perpendicular 0.5-1 cun Perpendicular 0.5-1 cun 0.5-1 cun Perpendicular 0.5-1 cun Perpendicular 0.5-1 cun Perpendicular 0.5-1cun Perpendicular 0.5-1 cun Perpendicular 1-1.5 cun Perpendicular 0.5-1 cun Perpendicular 0.5 – 1 cun Perpendicular 0.5 – 1 cun Perpendicular 0.5 – 1 cun Perpendicular 0.5 – 1 CUN Perpendicular 0.5 – 1 cun Diagonal 0.5 – 0.8 cun 0..5 – 0.8 cun Diagonal 0.5 – 0.8 cun 0.5 – 0.8 cun Diagonal 0.5 – 0.8 cun Diagonal 0.5 – 0.8 cun ","Jing – well point
Metal point, Mother point
Exit point of the BL TMM
Receives CHI from the KID
Influences the BL divergent meridian
Deep Energy point of the BL (metal)
1. Jing – Well point
2. Wood – Child point
3. Sends yin up and yang down
4. Exit point of Kidney TMM
5. Influences kidneys divergent meridian
6. Receives CHI from bladder
7. General strengthening of Yin
1. Ying - spring point
2. Fire point
3. Tonifies KID yang
4. Fire point of the Shao Yin with Heart8
5. Stem point of fire with ST41
1. Shu – stream point
2. Earth point
3. Strengthens KID Yin and KID CHI
4. Yuan point sends a branch to Bladder - 58
5. Balances between left and right side of the body
1. Lou point sends a branch to BL64
2. Nourishes the body with yin CHI when the kidneys are in excess from of internal blockages
1. Xi - cleft  point, regulates CHI and blood in meridian
2. Controls the KID TMM
3. Strengthens the will power
4. Concentrates the energetic force of kidney
5. Used to overcome nervousness and fear
6. It's CHI is similar to a Yuan point but it is more yang and has a stronger influence
on the meridian
1. Jing - River point
2. Metal, Mother point
3. Reflex point
4. Tonifies KID yin and yang
5. Concentrates KID CHI
6. Helps the flow of CHI in the meridian
7. Strengthens the will power
8. Deep energy point of the kidneys (metal)
1. On the YIN QIAO MAI
2. Tonifies KID Yang
1. Exit point of Yin Wei Mai
2. Tonifies Kidney yin
3. Supports Yuan CHI
4. Supports the heart by way of Yin Wei Mai
5. Influences formation of blood
6. Influences formation of kidney CHI
SECONDARY FUNCTION
Has a calming effect by way of the KID-HT connection and the Yin Wei Mai
Tonifies blood and Yuan
Moxa in the 3rd and 6th month of pregnancy, strengthens the fetus, cleans and purifies blood flow to the fetus and strengths it's Yuan (only when the pulse shows that this treatments is needed)
Treats depression before menstruation
Promotes formation of breast milk
Nei Ching
Su Wen 41 “When the Yin Wei is disturbed by an evil, the patient will complain of strong pain in the lumbar area. In fatal instances, the patient will moan and suffer from a severe state, needle KID9”
Su Wen – 41 “For pain of the lumbar area, with a hot sensation in the body accompanied by asthma, needle KID9 and BL54”
Su Wen – 41 “When the BL meridian is imbalanced the patient will suffer from back pain in the lumbar area. Also the patient will experience depression and in severe cases he will feel sad and frightened. Needle KID9”
Kid 10
YIN GU
Valley of Yin
陰谷
Yin – yin
Gu – valley
Located between 2 tendons at the yin aspect of the knee, the small depression between the tendons is reminiscent of a valley
1. He - Sea point
2. Water, Horary point
3. Tonifies KID yin
4. Exit point of the branch flowing to BL40 (BL40 is exit point of KID and BL divergent)
5. Disperses hot phlegm from lower jiao
1. On the Chong Mai
2. Point of Chong Mai’s emanation
3. Point of emanation of KID CHI from the Ming Me
Kid 12
DA HE
Great Brilliance
大赫
Da – big, plentiful,
He – shining like a flame
KID12 directs the influence of the Chong, which crosses through the KID meridian at this point
In women the point is close to the womb where the Jing is stored. Da He reflects the influence of the Yin at this point
1.Point on the Chong
Shokanten of the Tai Yang
Gives the first yang force of life before continuing to the womb
Point on the CHONG
Meeting of the lower Jiao's vital CHI
Tonifies Jing
Point on the Chong
Storage point of bone marrow
Kid 15
ZHONG ZHU
Central Flow
中注
Zhong – under, location of the 5 Zang, surface
ZHU – flowing to
From this point ministerial fire flows to the Dan Tian. It is a vital point of CHI flow. It is located at a central point on the body from where the essences derived from grains and water begins to seep to the meridians and nourishes the 5 Zang organs.
Point on the Chong
Vital point of CHI flow
Point on the Chong Mai
Shokanten of the Shao Yin
Tonifies KID
Nourishes the upper Jiao
Shu point of the intestines
Opens the passage of blood and CHI from the middle Jiao to the Heart and lungs
Point on the CHONG MAI
Kid 18
SHI GUAN
jade gate
石關
GUAN – gate
SHI – Jade (symbolic of wealth and fertile Earth)
Jade is a vital mineral for the Earth and is used as a metaphor for digestion. The point is located on top of the large intestine
Point on the Chong Mai
Kid 19
YIN DU
yin capital
陰都
Yin – Yin
Du – capital
The capital of yin is an important point of gathering. KID19 is parallel next to CV12, the front MU of stomach. This is where earth CHI is gathered. Also this point has extremely Yin qualities, this can be seen in by its yin location on the abdomen and the kidney meridian.
1. Point on the Chong Mai
2. Shokaten of Jue Yin
3. Strengthens the digestive system
4. Supports SP/ST
5. Tonifies KID Yin and promotes formation of Yin with the Earth element
Kid 20
FU TONG GU
bottom of the valley
通谷
Fu – Abdominal cavity
Tong – unobstructed flow
Gu – valley, seed
Located in a valley formed by the abdominal muscles this point is responsible for the unobstructed flow of food and water into the stomach
1. Point on the Chong Mai
1. Meeting with the Chong Mai
2. Shokaten of Shao Yang
3. Balances yin/yang
1. Receives a branch from the Chong Mai
2. Balances the flow of CHI and blood in the chest
3. Flows and regulates the SHEN's influence on the blood
Influences the Chong Mai
Tonifies kidney yang
Calms the mind
Protects the SHEN
At this point the kidneys form a protective wrapping around the heart
Influences the Chong
Tonifies kidney
Returns the emptying in order to become full function of heart
Strengthens the connection between SHEN and the self
1. Influences the Chong Mai
2. Tonifies the Kidneys
3. Protects the Jing, HT and SHEN
Influences the Chong Mai
Clears blockages in the chest
Treats KID and LU deficiency resulting in difficulty breathing and CHI not dispersing properly
1. Influences the Chong Mai
2. Send a branch to the throat by way of CV23
3. Send yin CHI upward and yang CHI downward
4. Strengthens the kidneys function of receiving CHI
5. Regulates the connection of SHEN and Jing to form the NAO
6. Master point of all the back SHU points
7. The vitality of life begins its flow at this point
8 .Kidney CHI begins to flow at this point
9. Tonifies yin especially in men
","Promotes blood flow
Purifies the eyes from wind
Lou point connecting the Chong to earth
Treats heat and false heat by Yin and the flow of Yin
Calms the mind by increasing yin and bringing down yang and heat
Purifies the brain and revives after loss of consciousness by passing Yin essences to all the sensory orifices
Brings fire down from the head, treats hypertension
Treats headache of the vertex
Treats spasm in children from wind attack
Treats dryness of the throat and tongue
For difficulty urinating
Revitalizes the patient
Strengthens the will and power to act
Nei Ching
Su Wen-41 - “For lumbar pain with the sensation of internal heat and difficulty sweating Needle KID1 and KID4”.
Su Wen-60 - “When the patient is attacked by a hot pathogen and alternating cold and hot symptoms are present (trembling) (fever) needle KID1 and BL53”.
Nei Ching-20 - “When evil CHI attacks the kidneys and the patient suffers from back pain, swollen abdomen, pain near the kidneys, difficulty passing feces, pain of the shoulders and chest and vertigo needle KID1 and BL60”
Nei Ching-33 - “If the patient has pain at the naval and area and fever as a result of being attacked by a hot pathogen needle CV23, SP9, KID2
Nei Ching-3 - “In attack of evil heat, if the abdomen is stiff from blood that has clotted and the Kidneys are in serious pain and the spine feels out of place, the patient can not eat or drink, needle KID1 and bleed it, then bleed the capillaries that have clotted”.
1. In dispersal clears heat and chills blood
2. Dispersed for headache from excess heat
3. Treats vaginal problems caused by cold i.e. irregular cycles, white vaginal excretions,
infertility.
4. Treats male infertility i.e low sperm count, low motility, impotence
Nei Ching
Su Wen 60 - “belonging to the group of points that treat knee problems these points are: BL66, HT8, KID2 and SI2”.
Nei Ching 4 - “When kidney CHI is disturbed the patient will feel pain in the heart radiating to the back and often will experience spasms (pain that feels like a knife in the back), he will not be able to stand straight. Needle BL64 and BL60. If the patient has not recovered after the needles have been removed, needle KID2 and KID3”.
1. Regulates the womb
2. Influences the brain, changes perspective
3. Strengthens knees and lower back
4. Cools down in state of false heat
5. Treats sensation of water accumulated under the Sternum
Nei Ching
Su Wen 61 - “When the Shao Yin is attacked and the patient has pain near the kidneys and pain at the internal aspect of the spine that reach up to the neck, needle KID3 but do not let it bleed in the spring. If it bleeds the patient will temporarily recover then his condition will worsen”.
Nei Ching 34 - “For Lu problems needles KID3 and LU10 because of their energetic connection”.
Nei Ching 9 - “The CHI of KID3, the yin and yang have their source in KID3 where the tibial artery passes, when needling KID3 one must check if the illness is of excess or deficiency. If deficient and the point is dispersed the disease will worsen. If the pulse is full and fast (a sign of excess) then disperse the point. If there are signs of emptiness and deficiency, tonify the point”.
Su Wen 20 - “The earth point of the lower region according to the pulses of the 9 continents”
1. Regulates the will power
2. Strengthens the lower back
3. Treats fear and nervousness
4. With BL64 it nourishes the skin with fluids, good for psoriasis
Nei Ching
Su Wen 36 - “When the Shao Yin is attacked by wind the patient will generally vomit, suffer from high fever, chills and tremors. He will want to lie in the dark. This is a difficult illness to treat. Needle the Lou of the kidney which is KID4”
Kid 5
SHUI GUAN
Water Spring
水泉
Shui  – water
Guan – spring
KID5 is the Xi – cleft point on this meridian. It is located in a crevice where the CHI/water of the kidney is gathered.
1. Treats urinary incontinence
2. Good for kidney problems resulting from blockages in the KID meridian
Kid 6
ZHAO HAI
Shining Sea
雲門
Zhao  – shining, bright
Hai  – sea, deep space
Located next to KID2 Ran Gu, the fire point of the Kidney meridian. The light of the fire is reflected in water
The CHI of the kidneys is wide and deep like the sea. It has the strength and ability to shine light throughout the body similar to the sun on the earth
1. Calms the SHEN
2. Dampens dry throat and eyes
3. Chills blood and brings down fever
4. Good for calming yang that is rising to or stuck in the upper body
Treats sleep problems
Useful in treating menopause
Nei Ching
Ling Shu 23.6 - “For pink, burning eyes where the color begins at the inner corner of the eye use KID6 (Yin Qiao Mai)”.
Kid 7
FU LIU
Returning Current
照海
Fu – to return, begin a new
Liu – to slip, flow, float
From KID6, the CHI flows to the Yin Qiao Mai. The CHI flow in the meridian is renewed at KID7. Here the flow that diverted at KID6 starts anew from here (KID7) the CHI flow up along the leg
1. Expels damp heat, clears edema
2. Treats lower back problems
3. Influences the water wood connection without weakening water or strengthening wood
4. Treats edema in the feat
5. Treats genital itching, jock itch
6. Used with HT6 for night sweats resulting from Yin Xu
7. Used with CO4 to control the lower orifices and tonify the metal of KID and BL,
used to treat incontinence.
Nei Ching
Su Wen 62 - “Deficient will power needs to be treated with KID7”.
Su Wen 41 - “When internal lower back pain is radiating upward from the thigh needles KID7 twice”.
Su Wen 41 - “When there is pain of the lumbar region accompanied by chest pain, fatigue and fatigue resulting from straining the eyes and in severe cases a bent back and lack of flexibility of the tongue causing inability to speak”.
1. Regulates CHI and blood in the womb
2. Regulates the menstrual cycle and depression before the menstruation
3. Treats lumbar pain connected to the Yin Qiao Mai that radiates to the chest and back
Nei Ching
Su Wen “When the Yin Qiao is attacked, the patient will have lumbar pain radiating to the back and chest in fatal instances a sensation of a break in the spine will be present along with stiff tongue, inability to speak and vision problems. Needle KID8 and KID2”.
Kid 9
ZHU BIN
Guest House
築賓
Zhu – to establish, build a house
Bin- to receive guests
At KID9 the KID meridian hosts the YIN WEI MAI. It is said that it builds a house for its guest here.
Calms wiry yin pulses
Useful in treating sexual problems and lower Jiao problems in men
Treats urinary problems
Treats vaginal excretions
Kid 11
HENG GU
Horizontal Bone
橫骨
Heng – ancient name for the pubis bone Nickname for east – west direction
Gu – bone
Heng Gu is the ancient Chinese name for the pubis bone, this point is located directly above. Heng relates to the directions east-west which represent the wood and earth elements. The wood earth connection lies horizontal to the Fire Water connection,  related to the Chong, which is responsible for pre and post-natal CHI
1. Treats menstrual problems
Strengthens the circulation of yang CHI in the womb
Kid 13
QI XUE
Orifice of CHI
氣穴
QI – energy
XUE – opening, point, beginning
The meeting of vital CHI. Situated close to the place where the kidney receives CHI (one of the kidneys functions)
1. Clears blockages from the meridian
2. Strengthens the circulation of CHI, blood, yang and JING in the womb
Kid 14
SI MAN
Fourfold Fullness
四滿
SI – 4, the 4th constellation “XI XING” in the 28 systems
MAN – full, Grain full(ness) the name of the 8th solar phase
According to the Chinese calendar Xiao Man is the 8th solar phase that takes place between May 21st – June 4th. During this time 4 (Si) stars are prevalent in the sky. Si Man is a reference to this time of year when the earth is fertile. It is located next to Dan Tian where the CHI is plentiful and powerful
1. Opens the passages of blood and CHI to the Heart and nourishes the chest
Balances the 3 warmers
Kid 16
HUANG SHU
Diaphragm Transport
肓俞
Huang – a fatty membrane under the diaphragm
Shu - association (Shu of abdominal)
The kidney meridian passes over the abdomen. It flows through the “Huang” area under the diaphragm. The character Huang relates to the area under the Heart. All points with the name Huang are related to the Kidney or Bladder.
This point opens the gate between the middle jiao, located between the navel and the diaphragm and upper Jiao, located above the diaphragm
1. Supports the heart
2. Influences the intestines
3. Balances all 3 warmers, treats KID, LIV, Ht and LU weakness + SP CHI XU
4. Treats chronic constipation with dry and hard feces bowel movement
5. Influences the Earth – Metal – Water triangle, balancing Fire and Water
Kid 17
SHANG QU
merchant of tunes
商曲
Qu - extinguished, deep, bent
SHANG – the 5th note on the Chinese musical scale it is related to the Metal element.
Directly on top of KID17 there is a turn/bend in the large intestine.
1. Promotes digestion
2. Clears food stagnation
Kid 21
YOU MEN
Secluded Gate
幽門
You – deep and quiet, hidden
Men - gate
A reference to this point being the lst point of the Chong Mai’s flow before spreading out on the chest.
The inferior cavity of the stomach is called Yon Men this is sometimes translated as the Pylorus
1. Sends yin to the legs
2. Opens the passage between the duodenum and the large intestine
3. Needling on the right side influences the pyloric valve
1. Circulates the blood in the heart
1. Strengthens SHEN treats mental confusion
2. Useful for treating severe depression with suicidal thoughts
Calms Asthma and expels phlegm
Calms rebellious CHI and chronic cough
Treats pain of the chest and head from mental stress
Treats premenstrual pain
Treats abdominal swelling
Xin Bao
Xin Bao
Pericardium
心包
balance: Internal - external, balance between spirit - body - mind .
the ambassador and messenger of joy and pleasure
5 elements phase: Fire
Terrestrial Branch: Xu 戌
Trigram: Dui 兌
Dui is a lake, happy. Dui is the middle of autumn that makes things happy
Six Division: JUE YIN / WOOD
Climate: HEAT / WIND
Deep Energy: Earth
Direction: SOUTH
Chinese Clock: 19:00-21:00
Animal: DOG
","Shen Kidney 腎 An influential scholar in a magical country - to step forward and look back The kidneys store the strength and vitality and responsibility for their awakening, skill and ability. Derive from content. They help memory, willpower and coordination of movements 5 elements phase: Water Celestial stem: Gui 癸 Terrestrial Branch: Yu 酉 Trigram: Kun - passive and receptive. It is the earth that nourishes the multitude of things Six Division: Shao Yin / Fire Climate: Coldness Deep Energy: Metal Direction: Center, Triagram direction - North Chinese Clock: 17:00-19:00 Animal: rooster Kid 1 YONG QUAN Gushing Spring 涌泉 Yong – bursting outward, bubbling from the depths Quan – fountain, beginning of flow KID1 is located at the “earth” portion of the foot from a Chinese cosmological perspective. From this point water flows up like a spring. The first point on the kidney meridian is a bubbling spring for the entire body. Because of its location, this is the point with the strongest connection to earth, where the body pulls/nurses Yin Kid 2 RAN GU Blazing Valley 然谷 Ran – fire, blazing, rising in flames Gu – valley, bone The fire point of the Kidney meridian, located in a valley (depression) at the medial aspect of the foot Kid 3 TAI XI Great Stream 太溪 Tai – big, strong, upper Xi – mountain stream, valley KID3 is found in the depression that is likened to a valley that gathers water from the mountains. From here the water continues to flow until a river is formed which eventually flows to the sea. The kidneys are the base of the 12 meridians. As the Yuan point of the kidneys, this is a very important point that provides the entire body with vital CHI Kid 4 DA ZONG Water Spring 大鐘 Da – big Zong - to unify, to hold fluids, bell KID stores the essences. It's partner BL holds the fluids until they are expelled from the body. KID4 is the Lou point of KID. Kid 8 JIAO XIN Communication Belief 交信 Jiao  – connection Xia – belief From KID8 the meridian flows to SP6 (the meeting of the 3 leg yin meridians) where it meets the SP and LIV. XIN, belief is the quality related to the 5 forces connected to the SP. This quality is strongly represented at SP6 where the KID meridian meets with earth CHI Kid 22 BU LANG Walking Promenade 步廊 Bu– walking, step, a measurement Lang – hallway gentleman’s steps A reference to the meridians “walking up” the intercostal spaces of the chest. Its as if the meridian is walking through the royal palace forbidden city (chest intercostal) towards the emperor (HT) Kid 23 SHEN FENG spirit seal 神封 Shen – shen Feng – protected, sealed/signed Located near the heart, which houses the SHEN. Feng is a reference to the ribcage which protects the heart and the SHEN in it Kid 24 LING XU Spirit Burial Ground 靈墟 Ling – spirit, the yin aspect of SHEN Xu - ancient burial ground, temple dwelling (with yin qualities hidden and mysterious) A reference to the place where the  SHEN is ,  this point is close to the heart. Located near the heart, this area must be empty in order to receive the influence of Heavenly energies. Kid 25 SHEN CANG spirit shelter 神藏 Cang – house, shelf Shen– shen Kid 26 YU ZHONG smooth center 彧中 Zhong – center Yu – smooth Located near the center of the chest this point influences the smooth flow of CHI Kid 27 SHU FU Shu of the Palace 俞府 Shu – acupuncture points, points of passage Fu – palace, to gather, important government building Similar to buildings which serve important governmental functions and  are often quite high, this point is the highest on the kidney meridian ",,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:53:22.883537
111,Bl7,TONG TIAN,Celestial Connection,通天,,"Tong – to connect, release Tian – celestial, heaven “Tian” is a reference to the vertex of the head. Bl7 sends out an artery that connects to GV20 thus the name celestial connection. ","7 cun above the glabella, 1.5 cun from the midline ","Diagonal 0.5 cun in the direction of the meridian ","1. Cleanses CHI and stimulates its flow through-out the entire body
2. Flows yang CHI to every orifice especially the eyes ears and nose
Purifies hot or cold wind that attacks the face and head
","1.  Brightens the eyes
2. Treats loss of the sense of smell
3. Treats frontal/vertical headaches
4. Treats dry nose and nosebleeds
5. Opens the sinuses
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
112,Bl8,LUO QUE,Vessel Ending,絡卻,,"Lou – to connect, vessel of reception Que – refuse, withdraw After passing the vertex the BL meridian flows to the area of BL8  “luo” is a reference to the small connecting branches located near this point (1 artery attaches to the brain) ","8.5 cun above the glabella, 1.5 cun from the midline ","Contraindicated in needling ","1. Disperses yang CHI in the head
2. Clears blockages of CHI and blood in the face and head
3. Moves the bladder's circulation in the direction of GV and the Shu points
","1. Treats headache
2. Treats neck pain near BL15, GV16
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
113,Bl9,YU ZHEN,Jade Pillow,玉枕,"“Zhen gu”is a nickname for the occipital bone. This name was given to BL9 in the Su Wen. Another name used is Yu Zhen Gu meaning “tired pillow bone”
","Yu – jade, tired Zhen – pillow ","1.5 cun above GV16, 1.3 cun lateral to GV17 ","Diagonal 0.3-0.5 cun ","1. Promotes local flow of CHI
2. Calms local stress
",,,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
262,CV1,HUI YIN,Meeting of Yin,會陰,,"Hui – meeting, trap Yin – yin Located between anterior and posterior yin (reproductive organs and anus) ","At the center of the perineum, between the anus and sacrum on men Between the anus and the vagina in women ","Perpendicular 0.5-1 cun ","1. Meeting of CV, GV and Chong
2. Nourishes and builds yin CHI
3. Stimulates the flow of yin essences and Ching
","1. Resuscitation point after drowning, apnea
2. Treats general issues in the perennial region
3. Treats gynecological issues
4. For thin menstruation or amenorrhea in young women and teens
5. For night time sweating from yin xu
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
271,CV10,XIA WAN,Lower Stomach,下脘,,"Xia – low Wan – abdomen The stomach is divided in 3 parts: upper, middle and lower. This point is located at the lower border of the stomach ","On the abdominal midline 2 cun above CV8 ","Perpendicular 0.8-1.2 cun ","Meeting with SP (SP15)
Influences the KID
Influences the TH internal duct
Promotes the descending of ST CHI
Lower jiao CHI comes to the surface at this point
","1. Relieves food stagnation
2. Tonifies SP
3. Belongs to a group of point with: CV4, 10, 22, GV9)
4. Treats stomach problems
5. Influences the CHI above and blow the naval
6. Treats memory loss
7. Treats weak digestion and weight loss
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
272,CV11,JIAN LI,Established Li,建里,,"Jian – strong and healthy Li – face, place Located between the middle part of the stomach/CV12 and CV10 ","On the abdomianl midline 3 cun above CV8 ","Perpendicular 0.5 – 1 cun ","Promotes ST's function of cooking food
Promotes the downward flow of ST CHI
","1. Tonifies its neighboring points
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
273,CV12,ZHONG WAN,Middle Stomach,中脘,,"Zhong – middle Wan – stomach ","On the abdomianl midline 4 cun above CV8 ","Perpendicular 0.8-1.5 cun ","MU of the stomach and middle jiao
Strong concentration of SP CHI
Mu/Hui of the Fu organs
Meeting of SI, TH, ST, LU, PC
","1. Tonifies the SP and expels dampness
2. Regulates ST CHI
3. CV12,13,14,15,16 calm the SHEN
","- on very thin people - Not to be used alone in abdominal fullness, as other points on the CV or points that support earth CHI ",,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
274,CV13,SHANG WAN,Upper Stomach,上脘,,"Shang – upper Wan – abdomen ","On the abdomial mid line 5 cun above CV8 ","Perpendicular 0.3 – 0.8 cun ","Meeting of SI and ST
Receives a branch from LU
Calms rebellious ST CHI
","1. With CV10 + CV12 to tonify yang
2. Treats heart pain
3. Treats weak digestion, nausea and vomit
4. Strong affect on weak digestion accompanied by heart pain
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
275,CV14,JU QUE,Great Gate,巨闕,,"Ju – big, large Que – palace, gate The depression under the sternum is a palace while the ribs serve as watch towers on both sides. As the Mu point of HT the name shows the importance of protecting the emperor ","On the abdominal midline 6 cun above CV8 Perpendicular 0.3 – 0.8 cun (not in an upwards angle) Moxa: maximum 3 cones to prevent damage to the yin ",,"MU of the heart, receives a branch directly from the heart
Calms the SHEN
Calms rebellious ST CHI
Purifies the heart
","1. Treats stiff stomach
2. Treats stomach ache and vomit used when the patient vomits everything he/she ate
3. Treats heart pain with rising CHI
4. Treats memory problems and lack of inner peace
5. Treats fainting or sudden loss of energy during pregnancy, when the fetus grows
and the CHI attacks the heart
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
276,CV15,JIU WEI,Dove’s Tail,鳩尾,,"Jiu – dove, hole Wei – tail ","On the abdominal midline 7 cun above CV8 ","Perpendicular 0.3 – 0.5 cun ","Mu of the PC
Lou of the CV, sends a web of small meridian in to the abdominal walls
Yuan point of the 5 FU organs
Tonifies the flow of Yuan CHI to all the organs
Calms the SHEN
Promotes the flow of Wei and Ying CHI to the muscles and skin
","1. Calms rising CHI
2. Treats heart pain emanating from CHI rising to the chest (violently?)
3. Tonifies yin, treats CHI rising causing headaches radiating to the external
canthus of the eye
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
277,CV16,ZHONG TING,central courtyard,中庭,,"Zhong – central Ting – courtyard Located in the palace guarded by the ribs (see CV14) “Zhong Ting” is the courtyard leading to “Yu Tang ” jade temple. “Zhong” can be a reference to the mid line ","On the abdominal midline, at the base of the sternum (xiphoid sternal junction), level with the 5th intercostal space ","Diagonal 0.3 cun ","1. Influences its neighboring points
",,,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
278,CV17,TAN ZHONG,Chest Center,膻中,,"Tan – naked, exposed Zhong – center The Nei Ching refers to this area as “the palace of the heart ruler” ","At the center of the sternum, level with the 4th intercostal space, there is usually a small depression near the point ","Only used with moxa ","Mu of the sea of CHI
Hui meeting point of CHI
Mu point of the upper jiao and PC (also considered secondary Mu point of PC)
Meeting of SP, SI, TH, PC
Meeting of the 3 hands yin TMM
","1. Tonifies and regulates CHI
2. Clears fullness from the chest
3. Purifies LU
4. Disperses phlegm
5. Relieves the diaphragm and chest
6. Regulates rebellious CHI
7. Concentration point of all the secondary meridians
8. Treats HT CHI Xu
9. Treats shortness of breath, surfaced breathing, sensation of CHI rising
to the edge of the body
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
279,CV18,YU TANG,Jade Palace,玉堂,,"Yu – jade Tang – palace Part of the sequence of points which construct the royal palace (forbiden city), located in between the central courtyard Zhong Ting (CV17) and the purple palace (CV19). “Yu Tang” was the name of the Han dynasty palace ","At the center of the sternum, level with the 3rd intercostal space (measured from the sternum) ","Diagonal upward 0.2-0.3 cun ","Tonifies LIV
Regulates rising CHI
Shokanten of Jue Yin
","1. Treats heart and chest pain accompanied by the sensation of CHI rising
to the edge of the body
Nei Ching
Nei Ching – 69: “The kidney meridian rises to the root of the tongue and ends at the pharynx, for treating aphonia needle CV18, 22, 23”
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
280,CV19,ZI GONG,Purple Palace,紫宮,,"Zi – purple Gong – palace Purple is a color associated with royalty. The heart being the emperor is also called Zi Gong. Zi Gong is seen ah heaven. It is said that Tai Yi (supreme unity) dwells in Zi Gong. As heaven rules earth, the heart rules the body ","On the mid line of the sternum level with the 2nd intercostal space ","Diagonal downward 0.3 cun ","1. Regulates CHI
",,,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:55:12.130547
